model: model_u_30a_with_param 准确度:0.772067604599419 f1:0.556481478322184
model: model_u_30a_with_price 准确度:0.798401691762735 f1:0.5650582385118539
model: model_u_30act_h30 准确度:0.8156977573719248 f1:0.5823789163963641
model: model_u_30act_h30_without_price 准确度:0.8129851023113193 f1:0.5793897330258011, 3770个正样本
model: model_u_30act_h30_without_price 准确度:0.4666666666666667 f1:0.4827586206896552, sample
model: model_u_30act_h30_without_price 准确度:0.45327075784442217 f1:0.4754900474125294
model: model_u_30act_h30_without_price 准确度:0.45327075784442217 f1:0.4754900474125294
model: model_u_30act_h30_without_price 迭代次数:100 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:100 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:150 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:200 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:250 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:300 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:350 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:5 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:55 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:105 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:155 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:205 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:255 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:305 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:355 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:5 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:55 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:105 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:155 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:205 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:255 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:305 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:355 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:5 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:5 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:5 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:5 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:55 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:105 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:155 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:205 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:255 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:305 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:355 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:1 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:11 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:21 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:31 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:41 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:51 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:61 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:71 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:81 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:91 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:101 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:111 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:121 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:131 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:141 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:151 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:161 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:171 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:181 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:191 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:201 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:211 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:221 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:231 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:241 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:251 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:261 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:271 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:281 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:291 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:301 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:311 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:321 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:331 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:341 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:351 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:361 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:371 测试集准确度:0.4666666666666667 f1:0.4827586206896552
